k_percent,batting_avg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
18.5,0.24,88.5,10.8,28.5,5.0,5.2,21.6,24.5,39.0,2.9,34.9,98.563404126,93.39348,72.6,17.1,34.1,36.2,63.8,80.4,82.5,23.1,53.4,34.7,40.6,24.5,64.0,49.4,22.6,20.9,7.1
15.5,0.273,93.0,15.7,34.8,13.1,8.4,24.9,24.0,27.1,1.6,49.1,102.85113274,96.053057671,70.6,17.0,26.5,34.9,65.1,76.8,82.7,23.2,44.7,41.9,36.4,21.7,52.1,37.6,25.6,28.7,8.1
23.4,0.25,91.3,12.2,31.4,10.9,8.1,20.3,23.9,35.1,1.0,43.9,101.381141361,95.014380393,67.3,26.2,24.3,45.6,54.4,75.3,73.8,32.0,43.9,38.4,43.9,16.9,60.3,43.6,24.9,24.9,6.5
13.2,0.246,87.4,15.8,33.5,5.6,6.6,23.3,30.3,29.4,3.4,34.5,97.851255714,92.944762734,73.5,12.2,34.4,28.8,71.2,78.2,87.8,17.9,52.9,36.9,38.3,24.8,65.5,37.6,24.5,29.1,8.7
10.5,0.287,89.5,12.6,35.7,5.5,7.8,26.3,23.5,33.7,2.2,40.4,99.25269668,93.842412257,62.1,11.2,35.4,25.5,74.5,64.7,88.8,16.8,48.1,35.3,41.4,23.3,61.9,42.4,18.4,31.6,7.6
16.0,0.276,90.6,15.6,34.1,5.8,7.5,27.3,27.8,27.8,1.8,41.9,100.406684388,94.465737033,65.4,10.9,28.9,31.5,68.5,80.0,89.1,18.1,45.4,40.6,38.3,19.3,57.3,36.8,26.6,28.1,8.5
15.3,0.224,85.7,16.2,32.1,2.5,4.2,23.8,30.9,30.3,3.7,23.1,94.846070976,91.436044694,66.2,11.3,24.8,35.2,64.4,79.8,87.8,18.1,45.0,46.0,32.6,21.2,56.5,41.3,24.7,24.2,9.7
10.9,0.244,90.7,14.2,29.5,7.7,5.3,22.7,28.9,32.1,1.5,38.3,100.504659847,94.487584551,63.0,9.6,29.3,29.4,70.6,67.5,90.4,16.3,45.4,43.3,37.0,19.5,56.0,42.8,25.5,23.8,7.9
26.7,0.247,86.3,12.1,33.9,8.5,5.5,21.9,24.6,30.3,4.6,31.1,97.831679429,92.932033009,81.4,20.8,41.9,48.5,51.5,84.6,79.2,31.2,60.2,36.6,35.8,27.6,70.4,43.7,22.7,28.7,4.9
16.8,0.265,89.5,4.4,33.3,3.7,8.0,28.6,11.9,43.0,3.7,39.9,99.035012259,93.792457552,57.5,10.6,25.5,29.4,69.8,67.2,88.9,16.8,40.7,28.2,39.7,32.1,57.2,57.6,13.4,27.2,1.9
16.0,0.338,93.8,12.2,35.8,10.6,8.9,28.9,19.2,28.7,1.7,53.3,104.226000936,97.024709123,68.1,16.6,27.3,35.5,64.5,78.1,83.4,23.1,44.9,33.5,34.1,32.1,57.5,43.3,24.9,27.5,4.3
16.7,0.275,88.8,14.2,40.7,8.4,9.4,27.8,20.8,29.3,1.9,36.8,98.744358772,93.442550154,73.6,14.6,32.3,33.3,66.7,83.1,85.1,21.6,49.7,37.0,34.7,28.3,54.5,39.4,19.7,34.5,6.4
10.9,0.294,86.2,10.7,32.6,2.3,3.2,29.8,22.5,35.7,2.9,26.0,95.811326601,91.918819386,74.0,10.7,35.4,35.1,64.4,74.6,89.0,18.9,54.2,32.4,36.6,30.5,62.3,45.6,15.8,32.1,6.5
11.9,0.274,84.6,13.4,28.1,0.2,2.3,22.5,29.0,36.2,3.2,18.6,93.914872935,91.119830448,67.1,10.6,35.6,25.1,74.3,71.0,88.0,16.1,50.3,39.4,40.4,20.2,61.1,46.2,16.0,25.1,12.8
17.3,0.275,88.2,13.4,35.2,4.4,5.7,30.2,22.6,30.4,2.5,34.0,98.062979471,93.145918612,74.3,15.5,29.0,40.1,59.9,82.4,84.5,23.1,49.9,39.7,36.9,23.0,60.5,44.7,21.9,28.7,4.6
22.5,0.276,90.9,7.7,33.5,8.4,7.2,25.1,15.7,39.3,2.2,44.1,100.512095792,94.585823515,63.0,21.5,22.9,39.8,59.2,74.4,77.7,26.7,41.9,41.0,37.1,21.7,57.9,52.0,17.1,28.7,2.2
11.1,0.27,86.4,10.4,32.6,2.3,2.5,24.6,26.9,38.0,3.4,25.3,95.490076558,91.769427529,74.2,14.3,34.0,22.7,77.0,82.3,85.2,16.9,54.1,32.8,36.9,30.1,62.3,49.0,20.3,24.8,5.9
12.7,0.305,90.9,9.9,29.4,6.4,5.3,25.3,23.0,36.6,2.3,44.5,101.496553053,95.058382691,70.4,10.5,32.4,36.1,63.7,77.8,89.5,20.7,47.9,32.1,40.0,27.9,56.1,47.0,19.8,26.4,6.8
15.9,0.287,91.0,5.5,32.4,7.3,5.6,28.4,14.4,38.8,3.5,45.7,102.302889373,95.449848118,71.5,11.1,31.7,34.3,65.5,79.1,88.9,19.1,49.8,32.8,44.0,22.8,59.2,52.2,13.8,30.9,3.1
15.7,0.277,90.0,16.8,31.1,10.0,7.3,20.0,29.5,28.9,3.2,43.9,101.759241789,95.067321839,64.4,17.9,23.2,36.8,63.2,81.1,82.1,23.1,43.1,46.1,35.5,18.4,55.6,37.5,25.2,25.2,12.0
27.5,0.229,91.3,14.9,42.5,11.7,8.7,26.5,23.2,26.2,1.5,45.2,101.021573988,94.888513877,76.2,20.2,37.2,51.2,48.8,86.4,79.8,31.9,54.6,46.1,33.7,19.9,58.0,38.0,25.6,34.6,1.8
15.9,0.25,92.0,16.9,29.9,12.6,5.2,19.1,31.7,28.5,1.6,45.6,102.503981,95.539945444,61.6,15.6,19.6,33.8,66.2,65.5,84.4,20.4,39.3,49.0,32.4,18.4,53.0,37.5,28.1,23.6,10.8
17.6,0.269,88.2,11.3,27.5,8.9,5.4,23.3,21.7,36.5,2.7,34.5,98.745910091,93.398517016,81.3,15.5,44.1,36.5,63.1,85.6,83.2,24.1,60.4,41.6,37.4,20.6,65.4,46.8,18.8,25.5,8.9
11.4,0.27,85.7,6.6,31.3,0.9,3.2,27.1,17.9,41.4,3.5,19.4,94.647213387,91.323779254,68.9,6.9,38.8,22.2,75.3,71.2,89.8,13.0,52.6,36.0,42.0,21.6,63.6,55.4,15.7,25.2,3.7
20.9,0.24,89.2,9.7,26.8,8.2,5.3,20.9,21.5,39.1,2.6,40.0,100.091759217,94.124560242,59.3,16.6,20.8,45.2,54.3,75.7,83.3,23.5,41.0,32.9,39.4,27.6,57.8,51.8,20.3,20.3,7.6
22.1,0.259,89.4,18.4,40.9,8.3,7.6,28.2,30.7,21.5,2.8,40.0,98.865756495,93.651697921,58.4,14.4,19.3,37.6,62.1,62.4,85.6,20.8,37.5,45.3,33.3,21.2,53.1,32.3,30.5,30.9,6.2
16.9,0.262,86.3,11.6,32.9,0.7,4.7,26.6,26.1,35.3,1.2,22.6,95.094960746,91.576020075,60.5,8.2,23.6,22.4,77.3,65.0,91.8,12.4,41.5,30.1,41.6,28.2,56.6,43.5,22.8,29.2,4.5
16.1,0.29,91.9,10.1,34.3,8.9,7.2,26.4,20.2,33.2,1.1,47.4,101.951024342,95.445822105,71.1,13.4,30.1,39.9,60.1,77.6,86.6,22.9,47.9,37.0,38.7,24.0,54.8,46.0,26.6,24.5,3.0
11.9,0.296,86.1,17.7,36.6,2.7,4.0,29.1,32.1,26.4,3.1,26.6,95.232079663,91.628863659,67.1,6.8,25.9,27.4,72.6,78.5,93.1,12.3,47.1,40.8,33.7,25.5,60.6,35.3,25.9,29.5,9.3
18.1,0.232,89.5,17.5,29.1,5.3,6.9,21.9,33.9,26.1,2.9,36.5,98.444416778,93.388572278,56.6,9.4,30.4,29.0,69.9,67.7,89.8,17.2,42.1,46.1,34.7,17.9,55.9,37.6,28.8,22.1,11.5
18.2,0.269,88.9,14.0,33.3,4.8,7.7,25.6,27.0,32.4,1.8,37.6,98.365567397,93.313297009,72.0,13.0,30.8,32.4,66.8,79.7,86.9,19.5,49.7,37.0,38.5,24.5,63.0,42.6,24.0,27.2,6.1
29.2,0.233,90.8,6.4,25.9,6.9,3.7,22.2,20.2,40.6,3.4,41.1,101.605778974,94.99907141,67.9,18.6,33.0,48.5,50.7,78.2,80.6,28.8,49.9,31.8,40.6,27.6,65.8,54.4,16.0,23.6,5.9
25.0,0.302,92.6,9.2,35.4,14.1,7.7,24.4,15.0,33.3,3.0,47.8,104.801318125,96.787248293,69.6,23.7,30.8,43.3,56.7,72.8,76.3,30.8,48.1,34.2,40.0,25.3,59.2,45.7,20.6,28.1,5.6
24.2,0.262,92.0,13.3,31.0,9.8,6.1,22.3,26.0,32.1,1.6,43.0,103.250637892,95.84658252,69.5,21.5,36.1,46.4,53.6,78.8,78.5,30.9,51.5,33.7,36.3,30.0,60.7,41.9,18.8,28.6,10.6
20.7,0.312,91.6,6.7,35.4,8.0,6.1,26.8,15.2,40.1,1.4,43.4,102.180038418,95.352553116,67.3,13.5,31.2,43.9,55.2,78.4,86.0,24.4,47.6,38.4,40.9,20.7,62.9,53.0,13.0,30.9,3.0
11.3,0.257,84.6,9.6,30.4,0.9,1.6,26.6,24.4,39.4,3.1,16.5,93.173673636,90.678851935,68.1,11.4,35.4,31.1,66.9,73.3,87.4,18.0,52.0,28.6,41.2,29.8,68.4,49.0,20.3,24.6,6.1
12.3,0.288,89.0,9.1,33.8,2.3,3.9,31.1,21.8,38.3,1.4,33.6,97.538678618,92.859026106,52.1,5.9,25.4,24.5,75.1,57.1,93.6,11.5,39.5,29.0,42.9,27.7,63.3,49.2,14.1,29.0,7.7
24.9,0.244,91.7,19.8,40.2,11.6,6.8,24.4,34.5,19.6,0.9,42.3,101.332638,94.972465319,62.8,15.0,27.3,40.8,59.2,76.2,85.0,24.9,41.8,37.8,36.3,25.9,51.3,28.6,30.7,33.6,7.1
19.7,0.27,89.6,15.4,33.5,8.5,7.9,23.1,28.1,28.7,2.5,39.7,99.904231429,94.097663789,65.0,17.8,29.4,35.9,64.1,74.2,82.3,23.7,46.8,37.6,36.6,24.9,59.1,39.3,27.2,24.3,8.9
31.0,0.262,92.0,17.5,39.7,17.3,8.9,24.3,21.9,23.5,1.9,45.9,102.292316778,95.621133417,70.1,27.9,28.7,50.9,48.6,81.6,71.9,35.6,47.3,54.6,27.8,17.3,62.1,34.9,30.3,30.0,4.9
10.5,0.276,88.6,8.2,29.3,3.6,4.8,23.8,23.8,40.6,1.4,34.9,97.625725245,92.940798084,55.4,8.3,21.4,21.4,77.8,66.4,91.1,12.5,36.8,43.8,32.5,23.6,54.8,49.8,18.8,24.5,7.0
22.3,0.25,87.2,12.2,32.0,4.5,3.4,25.5,26.6,34.0,3.6,30.2,97.222402523,92.630480115,67.1,16.1,19.0,38.9,59.3,80.3,83.0,21.8,41.6,40.7,35.1,23.9,59.0,44.3,22.1,28.0,5.6
21.0,0.259,86.8,11.9,36.7,5.1,4.5,28.5,22.5,33.2,3.8,32.5,97.832743516,92.940152123,64.7,13.0,22.7,42.9,57.1,79.6,86.8,21.2,42.9,41.4,37.6,19.2,57.5,44.3,20.0,28.3,7.3
17.5,0.277,89.5,10.8,31.4,7.2,7.2,21.0,23.2,39.8,0.7,36.0,99.239098955,93.694054015,60.8,12.6,32.2,33.3,66.7,65.6,87.4,21.2,44.4,32.8,40.0,26.9,54.5,46.9,20.5,26.4,6.2
19.4,0.265,88.3,17.3,32.1,5.4,5.7,24.2,32.1,28.4,2.0,32.3,96.997058223,92.551497386,74.0,17.3,37.4,32.1,66.5,81.0,80.7,22.9,54.0,45.4,30.4,24.0,65.0,37.8,28.1,24.2,9.9
21.3,0.28,90.0,12.7,31.6,5.3,7.4,29.3,24.2,28.5,2.4,40.4,100.349359399,94.443323973,62.8,17.7,28.6,33.7,66.0,74.4,82.3,23.0,44.9,46.8,32.7,20.2,57.9,41.5,21.0,30.3,7.2
16.4,0.287,86.8,15.0,35.4,3.7,6.8,26.2,25.0,29.0,3.7,29.0,96.789253682,92.405017945,59.6,8.8,27.6,29.3,70.0,65.2,89.7,15.7,42.8,42.5,35.6,21.9,57.8,40.3,18.4,33.1,8.2
20.2,0.255,89.6,18.8,32.7,9.0,6.5,21.8,31.2,25.3,2.7,38.8,100.175287966,94.201525487,73.5,17.5,34.9,38.0,61.4,81.3,82.3,24.7,52.9,42.9,35.7,21.0,60.3,34.1,25.5,28.6,11.8
12.1,0.296,88.3,6.8,30.6,0.8,3.2,30.9,19.8,40.2,3.4,33.6,97.823168238,92.998083551,60.4,8.9,25.6,17.1,82.9,69.4,91.1,11.6,41.6,27.5,40.6,30.9,56.0,54.3,15.1,25.7,4.9
16.8,0.251,89.4,8.5,30.8,7.5,7.7,21.5,16.3,42.4,1.8,40.6,99.857258558,94.077021585,60.4,10.3,28.9,36.7,63.3,73.2,89.7,18.8,44.7,34.5,34.0,30.8,62.2,51.7,19.0,24.5,4.8
